datetime,open,high,low,close,volume
2024-11-11 09:30:00,68.61,68.78,68.37,68.5,12801
2024-11-11 10:00:00,68.49,68.75,68.39,68.72,10266
2024-11-11 10:30:00,68.73,68.77,68.18,68.21,11476
2024-11-11 11:00:00,68.2,68.35,68.08,68.13,10885
2024-11-11 11:30:00,68.12,68.31,67.97,68.17,10727
2024-11-11 12:00:00,68.16,68.34,67.98,68.15,8209
2024-11-11 12:30:00,68.15,68.36,68.15,68.28,5671
2024-11-11 13:00:00,68.29,68.3,68.07,68.11,5297
2024-11-11 13:30:00,68.1,68.24,68.03,68.13,4949
2024-11-11 14:00:00,68.12,68.25,68.05,68.24,5618
2024-11-11 14:30:00,68.23,68.33,67.92,68.07,21874
2024-11-11 15:00:00,68.08,68.21,68.0,68.18,4277
2024-11-11 15:30:00,68.17,68.24,68.13,68.17,1990
2024-11-11 16:00:00,68.18,68.25,68.15,68.21,1322
2024-11-11 16:30:00,68.2,68.26,68.14,68.18,805
2024-11-11 17:00:00,68.17,68.18,68.09,68.15,627
2024-11-11 18:00:00,68.15,68.18,68.07,68.07,160
2024-11-11 18:30:00,68.07,68.13,68.06,68.1,421
2024-11-11 19:00:00,68.09,68.23,68.09,68.21,509
2024-11-11 19:30:00,68.22,68.25,68.19,68.22,324
2024-11-11 20:00:00,68.21,68.25,68.17,68.19,648
2024-11-11 20:30:00,68.19,68.32,68.12,68.13,1504
2024-11-11 21:00:00,68.13,68.26,68.03,68.07,1440
2024-11-11 21:30:00,68.07,68.08,67.86,67.92,1473
2024-11-11 22:00:00,67.92,67.94,67.82,67.91,1460
2024-11-11 22:30:00,67.9,67.99,67.9,67.93,627
2024-11-11 23:00:00,67.93,67.94,67.81,67.89,916
2024-11-11 23:30:00,67.89,67.99,67.89,67.95,559
2024-11-12 00:00:00,67.96,67.99,67.93,67.95,334
2024-11-12 00:30:00,67.95,67.97,67.75,67.78,995
2024-11-12 01:00:00,67.77,67.89,67.75,67.8,1088
2024-11-12 01:30:00,67.8,67.89,67.76,67.86,712
2024-11-12 02:00:00,67.86,67.95,67.84,67.92,719
2024-11-12 02:30:00,67.93,68.09,67.81,67.96,1675
2024-11-12 03:00:00,67.96,68.16,67.94,68.07,1328
2024-11-12 03:30:00,68.07,68.24,68.04,68.2,2725
2024-11-12 04:00:00,68.21,68.26,68.04,68.15,2445
2024-11-12 04:30:00,68.16,68.42,68.01,68.33,3720
2024-11-12 05:00:00,68.32,68.56,68.31,68.49,4271
2024-11-12 05:30:00,68.49,68.6,68.4,68.58,2319
2024-11-12 06:00:00,68.57,68.58,68.41,68.49,2171
2024-11-12 06:30:00,68.49,68.8,68.32,68.75,3667
2024-11-12 07:00:00,68.76,68.79,68.48,68.49,2524
2024-11-12 07:30:00,68.5,68.54,68.06,68.44,4683
2024-11-12 08:00:00,68.44,68.72,68.41,68.49,3904
2024-11-12 08:30:00,68.47,68.68,68.4,68.55,3796
2024-11-12 09:00:00,68.56,68.85,68.5,68.75,6002
2024-11-12 09:30:00,68.75,69.13,68.62,69.06,11935
2024-11-12 10:00:00,69.07,69.13,68.7,68.89,10593
2024-11-12 10:30:00,68.9,68.95,68.51,68.53,6870
2024-11-12 11:00:00,68.53,68.67,67.88,67.94,13486
2024-11-12 11:30:00,67.93,68.51,67.78,68.51,14840
2024-11-12 12:00:00,68.5,68.63,68.19,68.48,7904
2024-11-12 12:30:00,68.47,68.48,68.12,68.14,4382
2024-11-12 13:00:00,68.14,68.52,68.11,68.33,4267
2024-11-12 13:30:00,68.32,68.42,68.17,68.21,3794
2024-11-12 14:00:00,68.21,68.26,68.01,68.07,4212
2024-11-12 14:30:00,68.06,68.33,68.02,68.23,11148
2024-11-12 15:00:00,68.23,68.33,68.22,68.31,1946
2024-11-12 15:30:00,68.31,68.33,68.11,68.11,1344
2024-11-12 16:00:00,68.1,68.14,67.96,68.01,1900
2024-11-12 16:30:00,68.02,68.07,67.99,68.0,1107
2024-11-12 17:00:00,68.0,68.01,67.93,67.97,588
2024-11-12 18:00:00,67.98,68.02,67.96,67.98,134
2024-11-12 18:30:00,67.97,68.05,67.96,68.04,379
2024-11-12 19:00:00,68.03,68.07,67.99,68.06,211
2024-11-12 19:30:00,68.06,68.07,68.02,68.03,178
2024-11-12 20:00:00,68.03,68.09,68.0,68.06,231
2024-11-12 20:30:00,68.05,68.12,68.0,68.11,1081
2024-11-12 21:00:00,68.11,68.29,68.07,68.23,997
2024-11-12 21:30:00,68.22,68.29,68.2,68.24,576
2024-11-12 22:00:00,68.24,68.42,68.23,68.39,937
2024-11-12 22:30:00,68.39,68.45,68.37,68.38,574
2024-11-12 23:00:00,68.38,68.4,68.27,68.28,356
2024-11-12 23:30:00,68.28,68.32,68.23,68.27,532
2024-11-13 00:00:00,68.28,68.32,68.23,68.28,274
2024-11-13 00:30:00,68.29,68.34,68.23,68.27,343
2024-11-13 01:00:00,68.28,68.3,68.21,68.25,381
2024-11-13 01:30:00,68.26,68.33,68.26,68.28,463
2024-11-13 02:00:00,68.28,68.31,68.16,68.23,720
2024-11-13 02:30:00,68.25,68.29,68.13,68.13,809
2024-11-13 03:00:00,68.14,68.37,68.09,68.25,1231
2024-11-13 03:30:00,68.26,68.34,68.0,68.05,2517
2024-11-13 04:00:00,68.05,68.49,68.05,68.48,2218
2024-11-13 04:30:00,68.48,68.71,68.42,68.69,3174
2024-11-13 05:00:00,68.69,68.86,68.61,68.63,2888
2024-11-13 05:30:00,68.63,68.83,68.52,68.7,1585
2024-11-13 06:00:00,68.7,68.71,68.52,68.66,1606
2024-11-13 06:30:00,68.67,68.8,68.58,68.62,2495
2024-11-13 07:00:00,68.62,68.62,68.16,68.48,3836
2024-11-13 07:30:00,68.49,68.56,68.11,68.21,3580
2024-11-13 08:00:00,68.21,68.44,68.14,68.41,3498
2024-11-13 08:30:00,68.41,68.52,68.24,68.47,4118
2024-11-13 09:00:00,68.46,68.52,67.77,67.83,9324
2024-11-13 09:30:00,67.82,67.96,67.32,67.53,24195
2024-11-13 10:00:00,67.52,67.58,66.94,67.05,15595
