datetime,open,high,low,close,volume
2025-03-02 18:00:00,69.95,70.07,69.86,70.07,199
2025-03-02 18:30:00,70.08,70.24,70.0,70.21,1321
2025-03-02 19:00:00,70.21,70.23,70.15,70.2,644
2025-03-02 19:30:00,70.21,70.26,70.17,70.21,684
2025-03-02 20:00:00,70.21,70.38,70.21,70.34,1195
2025-03-02 20:30:00,70.34,70.52,70.32,70.49,2019
2025-03-02 21:00:00,70.49,70.5,70.4,70.5,853
2025-03-02 21:30:00,70.51,70.6,70.47,70.52,1226
2025-03-02 22:00:00,70.51,70.51,70.27,70.3,1069
2025-03-02 22:30:00,70.3,70.3,70.04,70.11,1663
2025-03-02 23:00:00,70.11,70.2,70.08,70.16,700
2025-03-02 23:30:00,70.15,70.19,70.07,70.08,514
2025-03-03 00:00:00,70.08,70.17,70.06,70.13,525
2025-03-03 00:30:00,70.13,70.14,70.05,70.11,454
2025-03-03 01:00:00,70.11,70.12,69.91,69.99,1151
2025-03-03 01:30:00,70.0,70.01,69.89,69.94,978
2025-03-03 02:00:00,69.93,69.94,69.84,69.87,833
2025-03-03 02:30:00,69.87,69.98,69.79,69.92,1408
2025-03-03 03:00:00,69.92,69.98,69.76,69.78,1214
2025-03-03 03:30:00,69.78,69.96,69.62,69.65,2709
2025-03-03 04:00:00,69.64,69.71,69.33,69.34,4045
2025-03-03 04:30:00,69.34,69.49,69.26,69.41,3155
2025-03-03 05:00:00,69.43,69.49,69.27,69.29,2092
2025-03-03 05:30:00,69.3,69.5,69.29,69.4,2284
2025-03-03 06:00:00,69.4,69.77,69.39,69.68,2549
2025-03-03 06:30:00,69.69,69.86,69.68,69.77,1674
2025-03-03 07:00:00,69.77,69.93,69.72,69.9,1255
2025-03-03 07:30:00,69.9,69.94,69.77,69.88,1808
2025-03-03 08:00:00,69.89,70.3,69.87,70.28,3897
2025-03-03 08:30:00,70.29,70.3,69.98,70.11,4445
2025-03-03 09:00:00,70.1,70.32,70.03,70.16,4673
2025-03-03 09:30:00,70.16,70.27,69.98,70.15,6256
2025-03-03 10:00:00,70.14,70.35,69.53,69.57,12471
2025-03-03 10:30:00,69.56,69.65,69.37,69.38,11299
2025-03-03 11:00:00,69.36,69.66,69.15,69.63,11671
2025-03-03 11:30:00,69.64,69.7,69.24,69.33,7685
2025-03-03 12:00:00,69.32,69.61,69.3,69.47,5543
2025-03-03 12:30:00,69.47,69.72,69.41,69.6,4521
2025-03-03 13:00:00,69.6,69.73,69.44,69.44,4182
2025-03-03 13:30:00,69.45,69.48,67.89,68.17,39662
2025-03-03 14:00:00,68.17,68.4,67.9,68.2,17056
2025-03-03 14:30:00,68.21,68.44,68.07,68.25,23491
2025-03-03 15:00:00,68.24,68.39,67.98,68.35,8489
2025-03-03 15:30:00,68.33,68.36,68.15,68.22,4674
2025-03-03 16:00:00,68.21,68.33,68.08,68.32,3145
2025-03-03 16:30:00,68.33,68.4,68.27,68.36,1708
2025-03-03 17:00:00,68.36,68.49,68.35,68.47,1787
2025-03-03 18:00:00,68.46,68.46,68.37,68.37,147
2025-03-03 18:30:00,68.38,68.45,68.3,68.38,565
2025-03-03 19:00:00,68.38,68.4,68.28,68.33,472
2025-03-03 19:30:00,68.33,68.33,68.27,68.27,446
2025-03-03 20:00:00,68.28,68.31,68.22,68.25,898
2025-03-03 20:30:00,68.24,68.24,68.05,68.09,1751
2025-03-03 21:00:00,68.09,68.11,67.96,68.02,1451
2025-03-03 21:30:00,68.03,68.21,68.01,68.03,1174
2025-03-03 22:00:00,68.03,68.12,68.01,68.05,719
2025-03-03 22:30:00,68.06,68.27,68.03,68.27,1158
2025-03-03 23:00:00,68.27,68.28,68.07,68.13,874
2025-03-03 23:30:00,68.13,68.16,68.06,68.13,545
2025-03-04 00:00:00,68.12,68.15,68.06,68.12,426
2025-03-04 00:30:00,68.12,68.2,67.99,68.02,954
2025-03-04 01:00:00,68.01,68.01,67.76,67.93,2471
2025-03-04 01:30:00,67.93,68.1,67.89,68.04,1070
2025-03-04 02:00:00,68.04,68.09,67.95,67.99,785
2025-03-04 02:30:00,67.99,68.01,67.78,67.84,1724
2025-03-04 03:00:00,67.83,67.93,67.73,67.76,2293
2025-03-04 03:30:00,67.75,67.75,67.54,67.55,4949
2025-03-04 04:00:00,67.55,67.9,67.54,67.57,4042
2025-03-04 04:30:00,67.57,67.6,67.43,67.53,4117
2025-03-04 05:00:00,67.53,67.76,67.5,67.5,3125
2025-03-04 05:30:00,67.5,67.71,67.46,67.63,3417
2025-03-04 06:00:00,67.63,67.86,67.63,67.75,3030
2025-03-04 06:30:00,67.75,67.94,67.59,67.67,5228
2025-03-04 07:00:00,67.66,67.66,67.39,67.47,3248
2025-03-04 07:30:00,67.46,67.49,67.22,67.24,4560
2025-03-04 08:00:00,67.24,67.32,67.09,67.29,6222
2025-03-04 08:30:00,67.29,67.65,67.25,67.63,7762
2025-03-04 09:00:00,67.63,67.68,67.45,67.52,5736
2025-03-04 09:30:00,67.53,67.88,67.52,67.64,11995
2025-03-04 10:00:00,67.63,67.69,66.77,66.83,18103
2025-03-04 10:30:00,66.84,67.43,66.8,67.4,16757
2025-03-04 11:00:00,67.39,67.6,67.3,67.39,10319
2025-03-04 11:30:00,67.38,67.59,67.13,67.53,10221
2025-03-04 12:00:00,67.53,67.92,67.36,67.82,10857
2025-03-04 12:30:00,67.82,67.99,67.69,67.87,6789
2025-03-04 13:00:00,67.87,68.12,67.82,68.07,7152
2025-03-04 13:30:00,68.06,68.29,68.04,68.04,7584
