datetime,open,high,low,close,volume
2025-02-12 03:00:00,73.05,73.05,72.73,72.79,4309
2025-02-12 03:30:00,72.79,72.82,72.62,72.69,4324
2025-02-12 04:00:00,72.69,72.7,72.46,72.54,5265
2025-02-12 04:30:00,72.55,72.63,72.4,72.6,2950
2025-02-12 05:00:00,72.59,72.65,72.42,72.46,2250
2025-02-12 05:30:00,72.45,72.58,72.36,72.5,2845
2025-02-12 06:00:00,72.5,72.53,72.26,72.28,3339
2025-02-12 06:30:00,72.28,72.44,72.26,72.4,2190
2025-02-12 07:00:00,72.41,72.58,72.36,72.53,2296
2025-02-12 07:30:00,72.53,72.59,72.36,72.49,2041
2025-02-12 08:00:00,72.47,72.54,72.42,72.51,1872
2025-02-12 08:30:00,72.51,72.65,72.4,72.48,4503
2025-02-12 09:00:00,72.47,72.56,72.39,72.43,5215
2025-02-12 09:30:00,72.42,72.43,72.02,72.05,11296
2025-02-12 10:00:00,72.04,72.41,72.04,72.16,8295
2025-02-12 10:30:00,72.15,72.28,71.98,72.16,7956
2025-02-12 11:00:00,72.15,72.36,71.99,72.03,11266
2025-02-12 11:30:00,72.03,72.28,71.89,72.2,11263
2025-02-12 12:00:00,72.2,72.29,71.87,72.0,12465
2025-02-12 12:30:00,72.0,72.0,71.52,71.57,14660
2025-02-12 13:00:00,71.57,72.09,71.54,71.65,11988
2025-02-12 13:30:00,71.65,71.67,71.43,71.6,7239
2025-02-12 14:00:00,71.61,71.63,71.39,71.43,4546
2025-02-12 14:30:00,71.43,71.53,71.3,71.37,14023
2025-02-12 15:00:00,71.37,71.44,71.31,71.37,3121
2025-02-12 15:30:00,71.37,71.38,71.31,71.35,1309
2025-02-12 16:00:00,71.34,71.4,71.22,71.33,2486
2025-02-12 16:30:00,71.33,71.6,71.19,71.23,5082
2025-02-12 17:00:00,71.23,71.32,71.17,71.21,2106
2025-02-12 18:00:00,71.24,71.25,71.18,71.22,203
2025-02-12 18:30:00,71.21,71.32,71.2,71.23,584
2025-02-12 19:00:00,71.23,71.27,71.18,71.2,586
2025-02-12 19:30:00,71.21,71.24,71.18,71.2,360
2025-02-12 20:00:00,71.19,71.3,71.19,71.19,749
2025-02-12 20:30:00,71.19,71.22,70.78,70.89,3033
2025-02-12 21:00:00,70.9,70.9,70.77,70.81,1126
2025-02-12 21:30:00,70.8,70.85,70.68,70.75,1251
2025-02-12 22:00:00,70.75,70.86,70.69,70.71,894
2025-02-12 22:30:00,70.7,70.73,70.63,70.69,948
2025-02-12 23:00:00,70.69,70.71,70.62,70.64,977
2025-02-12 23:30:00,70.64,70.66,70.6,70.63,467
2025-02-13 00:00:00,70.63,70.66,70.58,70.65,425
2025-02-13 00:30:00,70.66,70.73,70.65,70.69,582
2025-02-13 01:00:00,70.7,70.73,70.63,70.7,572
2025-02-13 01:30:00,70.7,70.83,70.66,70.82,1421
2025-02-13 02:00:00,70.81,70.81,70.64,70.67,957
2025-02-13 02:30:00,70.67,70.77,70.58,70.59,1610
2025-02-13 03:00:00,70.6,70.85,70.53,70.76,2214
2025-02-13 03:30:00,70.76,70.89,70.63,70.82,2233
2025-02-13 04:00:00,70.81,71.0,70.74,70.97,3702
2025-02-13 04:30:00,70.97,71.06,70.71,70.71,3198
2025-02-13 05:00:00,70.7,70.71,70.39,70.41,4812
2025-02-13 05:30:00,70.42,70.48,70.23,70.24,5143
2025-02-13 06:00:00,70.24,70.38,70.22,70.26,2758
2025-02-13 06:30:00,70.26,70.52,70.26,70.43,2594
2025-02-13 07:00:00,70.43,70.62,70.41,70.54,3267
