,row,level,strength,time,type
0,4,72.95,0.7790703109396518,2024-09-01 20:00:00,support
1,22,73.91,0.17610441361226384,2024-09-02 05:00:00,resistance
2,37,74.41,0.1388453627042551,2024-09-02 12:30:00,resistance
3,68,72.06,0.11164986126863898,2024-09-03 07:00:00,support
4,69,72.06,0.11173681974734108,2024-09-03 07:30:00,support
5,76,70.38,0.004776990006030181,2024-09-03 11:00:00,support
6,86,70.43,0.007900490365707422,2024-09-03 16:00:00,resistance
7,106,70.11,0.010417446227777767,2024-09-04 02:30:00,resistance
8,109,69.19,0.008235444346853504,2024-09-04 04:00:00,support
9,133,68.82,0.010890154075702785,2024-09-04 16:00:00,support
10,134,68.82,0.01090806783535131,2024-09-04 16:30:00,support
11,284,69.08,0.016451264405366848,2024-09-09 21:30:00,resistance
12,323,66.43,0.6533740236081528,2024-09-10 17:00:00,resistance
13,332,65.91,0.6545054069163616,2024-09-10 22:00:00,support
14,358,65.63,0.810836716360205,2024-09-11 11:00:00,support
15,368,67.05,0.43374689005575057,2024-09-11 16:00:00,support
16,390,68.5,0.029712826117501433,2024-09-12 03:30:00,resistance
17,403,67.81,0.29105120783121285,2024-09-12 10:00:00,support
18,406,69.81,0.03735840976014966,2024-09-12 11:30:00,resistance
19,423,69.24,0.01694377665994452,2024-09-12 20:30:00,support
20,425,69.5,0.020844300186000763,2024-09-12 21:30:00,resistance
21,442,69.92,0.021434927440897773,2024-09-13 06:00:00,resistance
22,459,68.47,0.060150853088369434,2024-09-13 14:30:00,support
23,465,69.39,0.031630506832790194,2024-09-15 18:00:00,resistance
24,471,68.7,0.026367050422274416,2024-09-15 21:00:00,support
25,474,69.0,0.018081078516130403,2024-09-15 22:30:00,resistance
26,475,69.0,0.018113954618500506,2024-09-15 23:00:00,resistance
27,498,70.7,0.01563404300785022,2024-09-16 10:30:00,resistance
28,530,70.75,0.016647391689647895,2024-09-17 03:00:00,resistance
29,550,71.92,0.1315037746539658,2024-09-17 13:00:00,resistance
30,560,69.91,0.030620894863981486,2024-09-17 18:30:00,support
31,583,68.58,0.04571658586799633,2024-09-18 06:00:00,support
32,594,70.26,0.0225670821669084,2024-09-18 11:30:00,resistance
33,604,68.95,0.027503951175088626,2024-09-18 16:30:00,support
34,648,70.96,0.04225579221072595,2024-09-19 15:00:00,support
35,653,71.2,0.025211631411868104,2024-09-19 18:00:00,resistance
36,654,71.2,0.025257472713562275,2024-09-19 18:30:00,resistance
37,662,70.77,0.025627216543118465,2024-09-19 22:30:00,support
38,669,70.88,0.03674940595318658,2024-09-20 02:00:00,support
39,686,70.37,0.022530021406743678,2024-09-20 10:30:00,support
40,707,71.65,0.12141218753475319,2024-09-22 21:30:00,resistance
41,715,71.68,0.12250940529228255,2024-09-23 01:30:00,resistance
42,719,70.71,0.028854141885702816,2024-09-23 03:30:00,support
43,728,71.45,0.07683538786996896,2024-09-23 08:00:00,resistance
44,737,69.49,0.04819791836208586,2024-09-23 12:30:00,support
45,772,72.36,0.5347523389621487,2024-09-24 06:30:00,resistance
46,849,70.01,0.06762540003808214,2024-09-25 22:00:00,resistance
47,866,68.76,0.05162920284005768,2024-09-26 06:30:00,resistance
48,881,67.29,0.41423788078927837,2024-09-26 14:00:00,support
49,916,68.02,0.36553202494465775,2024-09-27 08:00:00,resistance
50,941,68.98,0.07956811207141945,2024-09-29 21:00:00,resistance
51,963,67.57,0.4548037492726605,2024-09-30 08:00:00,support
52,966,68.53,0.12283837486957767,2024-09-30 09:30:00,resistance
53,1005,66.33,0.7747690365352331,2024-10-01 05:30:00,support
54,1031,71.04,0.0816600556653563,2024-10-01 19:00:00,resistance
55,1038,71.1,0.0936280177329714,2024-10-01 22:30:00,resistance
