level_type,entry_level,entry_time,exit_time,tp,sl,outcome,pnl,pending_id,order_created
resistance,71.1,2024-10-03 01:33:00,2024-10-03 01:33:00,71.08,71.11999999999999,tp,-0.7440000000004687,0,2024-10-03 00:00:00
resistance,72.49,2024-10-03 10:13:00,2024-10-03 10:13:00,71.78999999999999,73.19,sl,-69.93600000000131,1,2024-10-03 01:33:00
resistance,74.54,2024-10-07 03:05:00,2024-10-07 03:13:00,74.31,74.77000000000001,sl,-22.194000000001225,3,2024-10-07 00:53:00
resistance,74.54,2024-10-08 13:09:00,2024-10-08 13:09:00,74.31,74.77000000000001,tp,15.06599999999942,4,2024-10-08 10:04:00
resistance,74.26,2024-10-10 05:06:00,2024-10-10 05:06:00,74.17,74.35000000000001,tp,3.0359999999994898,10,2024-10-10 05:05:00
resistance,74.09,2024-10-10 05:05:00,2024-10-10 05:28:00,73.79,74.39,sl,-26.832000000000647,9,2024-10-10 02:44:00
resistance,74.54,2024-10-10 05:51:00,2024-10-10 05:51:00,74.4,74.68,tp,6.6239999999992705,11,2024-10-10 05:07:00
resistance,74.57,2024-10-11 03:12:00,2024-10-11 03:12:00,74.55999999999999,74.58,sl,-0.9720000000002926,14,2024-10-11 03:11:00
resistance,74.57,2024-10-13 18:06:00,2024-10-13 18:06:00,74.55999999999999,74.58,sl,-0.9720000000002926,16,2024-10-13 18:05:00
resistance,74.26,2024-10-13 19:33:00,2024-10-13 20:00:00,74.17,74.35000000000001,tp,2.8519999999995207,18,2024-10-13 19:20:00
resistance,74.54,2024-10-13 20:59:00,2024-10-13 21:00:00,74.4,74.68,tp,6.143999999999323,17,2024-10-13 19:00:00
resistance,74.57,2024-10-14 02:12:00,2024-10-14 02:12:00,74.55999999999999,74.58,tp,-0.5440000000000964,20,2024-10-14 02:06:00
resistance,74.54,2024-10-14 04:10:00,2024-10-14 04:17:00,74.4,74.68,tp,5.183999999999429,22,2024-10-14 03:07:00
resistance,73.93,2024-10-14 06:33:00,2024-10-14 06:33:00,73.7,74.16000000000001,tp,13.577999999999477,26,2024-10-14 05:54:00
support,73.53,2024-10-14 05:54:00,2024-10-14 08:02:00,74.03,73.03,tp,38.303999999999064,21,2024-10-14 02:06:00
resistance,74.09,2024-10-14 08:03:00,2024-10-14 08:03:00,74.01,74.17,tp,1.5119999999994604,24,2024-10-14 05:04:00
resistance,74.26,2024-10-14 09:30:00,2024-10-14 09:30:00,74.17,74.35000000000001,tp,2.4839999999995825,23,2024-10-14 05:03:00
support,71.53,2024-10-14 20:00:00,2024-10-14 20:00:00,71.59,71.47,tp,0.8159999999995478,28,2024-10-14 18:00:00
support,71.53,2024-10-15 00:03:00,2024-10-15 00:11:00,71.59,71.47,tp,0.7999999999995566,30,2024-10-15 00:00:00
resistance,71.1,2024-10-15 01:11:00,2024-10-15 01:11:00,71.08,71.11999999999999,tp,-0.600000000000378,33,2024-10-15 01:10:00
support,71.65,2024-10-14 18:00:00,2024-10-15 04:01:00,72.59,70.71000000000001,sl,-84.62400000000076,25,2024-10-14 05:54:00
